ome;frfe
86,9;0,909785
87;0,916286
87,1;0,922543
87,2;0,929265
87,3;0,936484
87,4;0,943252
87,5;0,950681
87,6;0,958
87,7;0,96509
87,8;0,972648
87,9;0,980729
88;0,989321
88,1;0,997839
88,2;1,00504
88,3;1,01363
88,4;1,02238
88,5;1,03087
88,6;1,04083
88,7;1,05011
88,8;1,05862
88,9;1,06884
89;1,07878
89,1;1,08864
89,2;1,09891
89,3;1,10828
89,4;1,11923
89,5;1,13033
89,6;1,13968
89,7;1,15016
89,8;1,16101
89,9;1,17114
90;1,18243
90,1;1,19337
90,2;1,2046
90,3;1,21611
90,4;1,22824
90,5;1,24137
90,6;1,25406
90,7;1,26855
90,8;1,28347
90,9;1,29853
91;1,31466
91,1;1,33075
91,2;1,34653
91,3;1,36372
91,4;1,38046
91,5;1,39726
91,6;1,41462
91,7;1,43124
91,8;1,44824
91,9;1,46451
92;1,4808
92,1;1,49673
92,2;1,51281
92,3;1,53004
92,4;1,54697
92,5;1,56438
92,6;1,58311
92,7;1,6022
92,8;1,62249
92,9;1,64457
93;1,66726
93,1;1,69078
93,2;1,71572
93,3;1,74142
93,4;1,76897
93,5;1,79807
93,6;1,82709
93,7;1,85719
93,8;1,88681
93,9;1,91812
94;1,94954
94,1;1,98081
94,2;2,01334
94,3;2,04492
94,4;2,07869
94,5;2,11458
94,6;2,14826
94,7;2,18411
94,8;2,22166
94,9;2,25832
95;2,29951
95,1;2,34166
95,2;2,38423
95,3;2,43133
95,4;2,4777
95,5;2,52571
95,6;2,57929
95,7;2,63173
95,8;2,68739
95,9;2,74788
96;2,80934
96,1;2,87666
96,2;2,94574
96,3;3,01417
96,4;3,08753
96,5;3,16378
96,6;3,24273
96,7;3,32399
96,8;3,40469
96,9;3,48971
97;3,58196
97,1;3,68022
97,2;3,78701
97,3;3,90259
97,4;4,02477
97,5;4,15592
97,6;4,29803
97,7;4,44867
97,8;4,60739
97,9;4,77565
98;4,95401
98,1;5,14551
98,2;5,35245
98,3;5,57401
98,4;5,81355
98,5;6,07721
98,6;6,36065
98,7;6,67063
98,8;7,01374
98,9;7,39102
99;7,81386
99,1;8,28612
99,2;8,81441
99,3;9,41847
99,4;10,1093
99,5;10,901
99,6;11,8247
99,7;12,9083
99,8;14,1989
99,9;15,7604
100;17,6763
100,1;20,0872
100,2;23,1837
100,3;27,29
100,4;32,9603
100,5;41,1241
100,6;53,466
100,7;71,7797
100,8;90,2192
100,9;83,2728
101;59,5095
101,1;42,8588
101,2;33,0035
101,3;26,7635
101,4;22,5035
101,5;19,4229
101,6;17,0879
101,7;15,2633
101,8;13,7989
101,9;12,5919
102;11,5831
102,1;10,7238
102,2;9,98461
102,3;9,34695
102,4;8,78331
102,5;8,28694
102,6;7,84904
102,7;7,45287
102,8;7,10051
102,9;6,78287
103;6,49241
103,1;6,23279
103,2;5,99319
103,3;5,76998
103,4;5,56703
103,5;5,3754
103,6;5,19636
103,7;5,03215
103,8;4,8745
103,9;4,72546
104;4,58797
104,1;4,45687
104,2;4,33382
104,3;4,21936
104,4;4,10927
104,5;4,00484
104,6;3,90709
104,7;3,81314
104,8;3,72528
104,9;3,64439
105;3,56728
105,1;3,49311
105,2;3,42217
105,3;3,35385
105,4;3,28947
105,5;3,22894
105,6;3,16955
105,7;3,11262
105,8;3,0577
105,9;3,00363
106;2,95265
106,1;2,9019
106,2;2,85175
106,3;2,8041
106,4;2,75651
106,5;2,71061
106,6;2,66658
106,7;2,62382
106,8;2,58335
106,9;2,54478
107;2,50781
107,1;2,47364
107,2;2,44093
107,3;2,40962
107,4;2,3804
107,5;2,35206
107,6;2,325
107,7;2,2995
107,8;2,27349
107,9;2,24921
108;2,22593
108,1;2,20254
108,2;2,17954
108,3;2,15665
108,4;2,13443
108,5;2,11251
108,6;2,0899
108,7;2,06809
108,8;2,04719
108,9;2,02643
109;2,00549
109,1;1,98493
109,2;1,96514
109,3;1,94641
109,4;1,92671
109,5;1,90826
109,6;1,89032
109,7;1,87228
109,8;1,85543
109,9;1,83874
110;1,82208
110,1;1,80626
110,2;1,78997
110,3;1,77373
110,4;1,75862
110,5;1,74371
110,6;1,72961
110,7;1,71632
110,8;1,70254
110,9;1,68969
111;1,67762
111,1;1,66575
111,2;1,6544
111,3;1,64353
111,4;1,63285
111,5;1,62235
111,6;1,61207
111,7;1,60126
111,8;1,591
111,9;1,58037
112;1,56941
112,1;1,55927
112,2;1,54862
112,3;1,53803
112,4;1,52781
112,5;1,51772
112,6;1,50723
112,7;1,49743
112,8;1,4883
112,9;1,48037
113;1,47269
113,1;1,46423
113,2;1,45661
113,3;1,44927
113,4;1,44212
113,5;1,43544
113,6;1,42865
113,7;1,42152
113,8;1,41538
113,9;1,40871
114;1,40153
114,1;1,39439
114,2;1,38693
114,3;1,37945
114,4;1,37141
114,5;1,36305
114,6;1,35555
114,7;1,34817
114,8;1,33995
114,9;1,33203
115;1,32532
115,1;1,31943
115,2;1,31416
115,3;1,30909
115,4;1,30369
115,5;1,29893
115,6;1,29514
